Estado,Sexo,Rango_Edades,Personas
Aguascalientes,Hombres,De 15 a 19 años,1270
Aguascalientes,Hombres,De 20 a 24 años,1549
Aguascalientes,Hombres,De 25 a 29 años,1278
Aguascalientes,Hombres,De 30 a 34 años,1156
Aguascalientes,Hombres,De 35 a 39 años,944
Aguascalientes,Hombres,De 40 a 44 años,797
Aguascalientes,Hombres,De 45 a 49 años,739
Aguascalientes,Hombres,De 50 a 54 años,672
Aguascalientes,Hombres,De 55 a 59 años,471
Aguascalientes,Hombres,De 60 a 64 años,391
Aguascalientes,Hombres,De 65 a 69 años,247
Aguascalientes,Mujeres,De 15 a 19 años,916
Aguascalientes,Mujeres,De 20 a 24 años,1048
Aguascalientes,Mujeres,De 25 a 29 años,859
Aguascalientes,Mujeres,De 30 a 34 años,678
Aguascalientes,Mujeres,De 35 a 39 años,612
Aguascalientes,Mujeres,De 40 a 44 años,552
Aguascalientes,Mujeres,De 45 a 49 años,520
Aguascalientes,Mujeres,De 50 a 54 años,386
Aguascalientes,Mujeres,De 55 a 59 años,260
Aguascalientes,Mujeres,De 60 a 64 años,182
Aguascalientes,Mujeres,De 65 a 69 años,104
Baja California,Hombres,De 15 a 19 años,18424
Baja California,Hombres,De 20 a 24 años,21524
Baja California,Hombres,De 25 a 29 años,19599
Baja California,Hombres,De 30 a 34 años,17083
Baja California,Hombres,De 35 a 39 años,15376
Baja California,Hombres,De 40 a 44 años,11985
Baja California,Hombres,De 45 a 49 años,9218
Baja California,Hombres,De 50 a 54 años,7108
Baja California,Hombres,De 55 a 59 años,4818
Baja California,Hombres,De 60 a 64 años,3578
Baja California,Hombres,De 65 a 69 años,2430
Baja California,Mujeres,De 15 a 19 años,14383
Baja California,Mujeres,De 20 a 24 años,15943
Baja California,Mujeres,De 25 a 29 años,13326
Baja California,Mujeres,De 30 a 34 años,11152
Baja California,Mujeres,De 35 a 39 años,9634
Baja California,Mujeres,De 40 a 44 años,7298
Baja California,Mujeres,De 45 a 49 años,5517
Baja California,Mujeres,De 50 a 54 años,3792
Baja California,Mujeres,De 55 a 59 años,2468
Baja California,Mujeres,De 60 a 64 años,1826
Baja California,Mujeres,De 65 a 69 años,1140
Baja California Sur,Hombres,De 15 a 19 años,2332
Baja California Sur,Hombres,De 20 a 24 años,2926
Baja California Sur,Hombres,De 25 a 29 años,2860
Baja California Sur,Hombres,De 30 a 34 años,2508
Baja California Sur,Hombres,De 35 a 39 años,1975
Baja California Sur,Hombres,De 40 a 44 años,1458
Baja California Sur,Hombres,De 45 a 49 años,1165
Baja California Sur,Hombres,De 50 a 54 años,995
Baja California Sur,Hombres,De 55 a 59 años,745
Baja California Sur,Hombres,De 60 a 64 años,496
Baja California Sur,Hombres,De 65 a 69 años,352
Baja California Sur,Mujeres,De 15 a 19 años,1604
Baja California Sur,Mujeres,De 20 a 24 años,1903
Baja California Sur,Mujeres,De 25 a 29 años,1733
Baja California Sur,Mujeres,De 30 a 34 años,1432
Baja California Sur,Mujeres,De 35 a 39 años,1154
Baja California Sur,Mujeres,De 40 a 44 años,861
Baja California Sur,Mujeres,De 45 a 49 años,652
Baja California Sur,Mujeres,De 50 a 54 años,518
Baja California Sur,Mujeres,De 55 a 59 años,302
Baja California Sur,Mujeres,De 60 a 64 años,193
Baja California Sur,Mujeres,De 65 a 69 años,142
Campeche,Hombres,De 15 a 19 años,6084
Campeche,Hombres,De 20 a 24 años,5792
Campeche,Hombres,De 25 a 29 años,5303
Campeche,Hombres,De 30 a 34 años,4870
Campeche,Hombres,De 35 a 39 años,4381
Campeche,Hombres,De 40 a 44 años,3397
Campeche,Hombres,De 45 a 49 años,2820
Campeche,Hombres,De 50 a 54 años,2165
Campeche,Hombres,De 55 a 59 años,1587
Campeche,Hombres,De 60 a 64 años,1165
Campeche,Hombres,De 65 a 69 años,805
Campeche,Mujeres,De 15 a 19 años,4526
Campeche,Mujeres,De 20 a 24 años,4375
Campeche,Mujeres,De 25 a 29 años,3796
Campeche,Mujeres,De 30 a 34 años,3307
Campeche,Mujeres,De 35 a 39 años,2819
Campeche,Mujeres,De 40 a 44 años,2008
Campeche,Mujeres,De 45 a 49 años,1421
Campeche,Mujeres,De 50 a 54 años,1003
Campeche,Mujeres,De 55 a 59 años,716
Campeche,Mujeres,De 60 a 64 años,452
Campeche,Mujeres,De 65 a 69 años,297
